sn,order_line_key,order_no,zip_code,locId,CAR_NAME,TNT,TRACKNO,CPD,SHIPTIME,MCD,DELIVER_TIME
0,20210119113842888224401Y,ABC01-806414979908CC,94533,ABC_824390009370862,DL,5,LM8X1R120300562674,29/01/21,2021-01-20 19:47:49+00:00,DELIVERED,2021-01-26 12:05:05+00:00
1,20210118090156241794281Y,ABC01-806414639636CC,10013,ABC_82335000473013,DL,4,LM81Y8100350014368,23/01/21,2021-01-21 19:55:44+00:00,DELIVERED,2021-01-23 12:19:09+00:00
2,20210119184522584892181Y,ABC01-806415229247CC,95035,ABC_824390009370862,DL,5,LM8X1R120300563084,29/01/21,2021-01-20 19:49:37+00:00,DELIVERED,2021-01-26 11:08:18+00:00
3,20210111094715301794841Y,ABC01-806412547843CC,10010,ABC_824390009370862,DL,3,LM2V07890316728728,16/01/21,2021-01-17 13:20:14+00:00,DELIVERED,2021-01-18 09:44:52+00:00
4,20210104213229182178261Y,ABC01-806409935919CC,11729,ABC_82335000473013,DL,4,LMR346760319292389,09/01/21,2021-01-11 19:55:24+00:00,DELIVERED,2021-01-12 13:02:18+00:00
5,20210120160915690688021Y,ABC01-806415565483CC,91722,ABC_824390009370862,DL,4,LM8X1R120300564592,01/02/21,2021-01-21 19:45:07+00:00,DELIVERED,2021-01-26 11:56:44+00:00
6,20210114174639634188961Y,ABC01-806413632311CC,30014,ABC_82335000473013,DL,3,LMR09A490311647506,16/01/21,2021-01-15 19:08:44+00:00,DELIVERED,2021-01-16 12:21:26+00:00
7,20210118113044427199061Y,ABC01-806414611078CC,91344,ABC_82335000473013,DL,4,LM8W2R150310676813,29/01/21,2021-01-18 20:11:28+00:00,DELIVERED,2021-01-20 14:02:24+00:00
8,20210119131905126500721Y,ABC01-806415188504CC,94517,ABC_824390009370862,DL,5,LM8X1R120300562807,29/01/21,2021-01-20 19:47:43+00:00,DELIVERED,2021-01-26 14:31:11+00:00
9,20210114000727548283691Y,ABC01-806413390139CC,91786,ABC_82335000473013,DL,4,LM2R7V77YN11890556,16/01/21,2021-01-14 23:25:52+00:00,DELIVERED,2021-01-16 12:26:00+00:00
10,20210119233259811092081Y,ABC01-806415358245CC,92618,ABC_824390009370862,DL,4,LM8X1R120300563646,29/01/21,2021-01-20 20:13:44+00:00,DELIVERED,2021-01-25 10:03:06+00:00
11,20210115200528301040131Y,ABC01-806411927938CC,91352,ABC_82335000473013,DL,4,LM8W2R150310668359,02/02/21,2021-01-18 13:06:07+00:00,DELIVERED,2021-01-21 12:56:11+00:00
12,20210105193606759410871Y,ABC01-806410364226CC,10032,ABC_824390009370862,DL,3,LMV7855EYN40400488,09/01/21,2021-01-07 12:51:30+00:00,DELIVERED,2021-01-09 11:25:28+00:00
13,20210104151751499662731Y,ABC01-806404740056CC,94568,ABC_82335000473013,DL,5,LM8W2R150310642920,05/02/21,2021-01-11 20:19:21+00:00,DELIVERED,2021-01-15 15:27:54+00:00
14,20210119120629926482901Y,ABC01-806414984720CC,90032,ABC_824390009370862,DL,4,LM8X1R120300562601,29/01/21,2021-01-20 20:14:52+00:00,DELIVERED,2021-01-25 20:33:09+00:00
15,20210119162237390490471Y,ABC01-806415205884CC,94556,ABC_824390009370862,DL,5,LM8X1R120300563208,29/01/21,2021-01-20 19:58:43+00:00,DELIVERED,2021-01-26 11:49:30+00:00
16,20210104105752936052861Y,ABC01-806409594643CC,76078,ABC_82335000473013,DL,2,LMF2868E0323209782,05/01/21,2021-01-04 20:38:59+00:00,DELIVERED,2021-01-05 12:24:18+00:00
17,20210118113732005180571Y,1121018621621CC,11720,ABC_82335000473013,DL,4,LM8W2R150310679516,29/01/21,2021-01-19 19:13:29+00:00,DELIVERED,2021-01-22 12:50:42+00:00
18,20210119205153708691661Y,ABC01-806415216691CC,95012,ABC_824390009370862,DL,5,LM8X1R120300563495,29/01/21,2021-01-25 15:24:21+00:00,DELIVERED,2021-01-26 15:22:51+00:00
19,20210114195640782462851Y,ABC01-806411925120CC,92127,ABC_82335000473013,DL,4,LM8W2R150310665558,01/02/21,2021-01-15 19:03:42+00:00,DELIVERED,2021-01-19 14:59:09+00:00
20,20210118113044427199191Y,ABC01-806414611078CC,91344,ABC_82335000473013,DL,4,LM8W2R150310676813,29/01/21,2021-01-18 20:11:28+00:00,DELIVERED,2021-01-20 14:02:24+00:00
